ts,machine_id,tag,value,unit
2026-02-23T11:56:15+00:00,LNK-01,LineSpeed_mpm,180.558,m/min
2026-02-23T11:56:15+00:00,LNK-01,Tension_N,43.348,N
2026-02-23T11:56:15+00:00,LNK-01,SpoolRPM,1256.505,rpm
2026-02-23T11:56:15+00:00,LNK-01,SpoolDiameter_mm,539.723,mm
2026-02-23T11:56:15+00:00,LNK-01,MainMotorCurrent_A,40.728,A
2026-02-23T11:56:15+00:00,LNK-01,Vibration_mm_s,1.897,mm/s
2026-02-23T11:56:15+00:00,LNK-01,TempGearbox_C,63.81,C
2026-02-23T11:56:15+00:00,LNK-01,TempMotor_C,59.022,C
2026-02-23T11:56:15+00:00,LNK-01,MachineState,1.0,state
2026-02-23T11:56:15+00:00,LNK-01,WireBreak,0.0,flag
2026-02-23T11:56:15+00:00,LNK-01,SlipDetected,0.0,flag
2026-02-23T11:57:15+00:00,LNK-01,LineSpeed_mpm,179.699,m/min
2026-02-23T11:57:15+00:00,LNK-01,Tension_N,43.356,N
2026-02-23T11:57:15+00:00,LNK-01,SpoolRPM,1255.617,rpm
2026-02-23T11:57:15+00:00,LNK-01,SpoolDiameter_mm,539.985,mm
2026-02-23T11:57:15+00:00,LNK-01,MainMotorCurrent_A,39.594,A
2026-02-23T11:57:15+00:00,LNK-01,Vibration_mm_s,1.821,mm/s
2026-02-23T11:57:15+00:00,LNK-01,TempGearbox_C,63.618,C
2026-02-23T11:57:15+00:00,LNK-01,TempMotor_C,59.39,C
2026-02-23T11:57:15+00:00,LNK-01,MachineState,1.0,state
2026-02-23T11:57:15+00:00,LNK-01,WireBreak,0.0,flag
2026-02-23T11:57:15+00:00,LNK-01,SlipDetected,0.0,flag
2026-02-23T11:58:15+00:00,LNK-01,LineSpeed_mpm,178.904,m/min
2026-02-23T11:58:15+00:00,LNK-01,Tension_N,44.03,N
2026-02-23T11:58:15+00:00,LNK-01,SpoolRPM,1265.085,rpm
2026-02-23T11:58:15+00:00,LNK-01,SpoolDiameter_mm,539.466,mm
2026-02-23T11:58:15+00:00,LNK-01,MainMotorCurrent_A,40.842,A
2026-02-23T11:58:15+00:00,LNK-01,Vibration_mm_s,1.9,mm/s
2026-02-23T11:58:15+00:00,LNK-01,TempGearbox_C,63.372,C
2026-02-23T11:58:15+00:00,LNK-01,TempMotor_C,59.08,C
2026-02-23T11:58:15+00:00,LNK-01,MachineState,1.0,state
2026-02-23T11:58:15+00:00,LNK-01,WireBreak,0.0,flag
2026-02-23T11:58:15+00:00,LNK-01,SlipDetected,0.0,flag
2026-02-23T11:59:15+00:00,LNK-01,LineSpeed_mpm,181.862,m/min
2026-02-23T11:59:15+00:00,LNK-01,Tension_N,43.729,N
2026-02-23T11:59:15+00:00,LNK-01,SpoolRPM,1253.633,rpm
2026-02-23T11:59:15+00:00,LNK-01,SpoolDiameter_mm,539.537,mm
2026-02-23T11:59:15+00:00,LNK-01,MainMotorCurrent_A,40.91,A
2026-02-23T11:59:15+00:00,LNK-01,Vibration_mm_s,1.885,mm/s
2026-02-23T11:59:15+00:00,LNK-01,TempGearbox_C,63.748,C
2026-02-23T11:59:15+00:00,LNK-01,TempMotor_C,59.54,C
2026-02-23T11:59:15+00:00,LNK-01,MachineState,1.0,state
